id,name,region,build_overall,build_compute,build_datacentres,build_energy,build_research,break_overall,break_exposure,break_complementarity,balance_overall,balance_legal,balance_standards,balance_audit,balance_worker,balance_transparency,cluster_id
USA,United States,North America,0.92,0.95,0.88,0.85,0.96,0.78,0.82,0.74,0.61,0.58,0.65,0.55,0.52,0.72,high-build-low-balance
CHN,China,East Asia,0.88,0.91,0.86,0.82,0.90,0.72,0.76,0.68,0.42,0.35,0.48,0.38,0.32,0.45,high-build-low-balance
GBR,United Kingdom,Western Europe,0.71,0.68,0.72,0.65,0.78,0.69,0.72,0.66,0.74,0.78,0.72,0.71,0.68,0.82,balanced-high
DEU,Germany,Western Europe,0.69,0.65,0.68,0.72,0.74,0.71,0.74,0.68,0.82,0.85,0.84,0.78,0.76,0.88,balanced-high
FRA,France,Western Europe,0.62,0.58,0.61,0.68,0.65,0.68,0.71,0.65,0.75,0.78,0.74,0.72,0.71,0.80,balanced-high
JPN,Japan,East Asia,0.74,0.72,0.76,0.68,0.78,0.74,0.78,0.70,0.68,0.72,0.71,0.62,0.58,0.75,balanced-high
KOR,South Korea,East Asia,0.72,0.75,0.74,0.65,0.76,0.71,0.75,0.67,0.58,0.62,0.61,0.52,0.48,0.68,high-build-low-balance
CAN,Canada,North America,0.64,0.62,0.68,0.72,0.58,0.62,0.65,0.59,0.72,0.75,0.74,0.68,0.71,0.78,balanced-high
AUS,Australia,Oceania,0.58,0.55,0.62,0.64,0.52,0.58,0.61,0.55,0.71,0.74,0.72,0.68,0.65,0.76,balanced-high
IND,India,South Asia,0.52,0.58,0.48,0.42,0.62,0.65,0.72,0.58,0.38,0.42,0.35,0.32,0.28,0.48,high-build-low-balance
BRA,Brazil,South America,0.38,0.35,0.42,0.48,0.32,0.52,0.58,0.46,0.45,0.48,0.42,0.38,0.42,0.52,balanced-low
NLD,Netherlands,Western Europe,0.58,0.52,0.68,0.62,0.54,0.65,0.68,0.62,0.78,0.82,0.78,0.74,0.72,0.85,low-build-high-balance
SWE,Sweden,Northern Europe,0.52,0.48,0.55,0.72,0.48,0.61,0.64,0.58,0.84,0.88,0.86,0.82,0.78,0.88,low-build-high-balance
NOR,Norway,Northern Europe,0.48,0.42,0.52,0.82,0.38,0.54,0.58,0.50,0.86,0.88,0.85,0.84,0.82,0.90,low-build-high-balance
DNK,Denmark,Northern Europe,0.46,0.42,0.48,0.68,0.42,0.58,0.62,0.54,0.85,0.88,0.84,0.82,0.80,0.88,low-build-high-balance
FIN,Finland,Northern Europe,0.48,0.44,0.50,0.72,0.46,0.55,0.58,0.52,0.82,0.85,0.82,0.78,0.76,0.86,low-build-high-balance
CHE,Switzerland,Western Europe,0.54,0.52,0.58,0.65,0.48,0.62,0.65,0.59,0.80,0.84,0.82,0.78,0.74,0.82,balanced-high
SGP,Singapore,Southeast Asia,0.68,0.72,0.78,0.58,0.62,0.68,0.72,0.64,0.72,0.76,0.74,0.68,0.62,0.78,balanced-high
ISR,Israel,Middle East,0.72,0.78,0.68,0.52,0.82,0.68,0.72,0.64,0.54,0.58,0.52,0.48,0.45,0.62,high-build-low-balance
ARE,United Arab Emirates,Middle East,0.62,0.68,0.72,0.58,0.48,0.58,0.62,0.54,0.52,0.55,0.48,0.45,0.42,0.65,emerging
SAU,Saudi Arabia,Middle East,0.52,0.58,0.62,0.65,0.35,0.48,0.52,0.44,0.42,0.45,0.38,0.35,0.32,0.55,emerging
IRL,Ireland,Western Europe,0.55,0.52,0.62,0.58,0.48,0.58,0.62,0.54,0.74,0.78,0.72,0.68,0.72,0.80,balanced-high
ESP,Spain,Southern Europe,0.45,0.42,0.48,0.55,0.38,0.62,0.65,0.59,0.68,0.72,0.68,0.62,0.64,0.74,balanced-low
ITA,Italy,Southern Europe,0.42,0.38,0.45,0.52,0.38,0.64,0.68,0.60,0.65,0.68,0.64,0.58,0.62,0.72,balanced-low
POL,Poland,Eastern Europe,0.38,0.35,0.42,0.48,0.32,0.55,0.58,0.52,0.62,0.65,0.60,0.55,0.58,0.68,balanced-low
RUS,Russia,Eastern Europe,0.52,0.55,0.48,0.62,0.48,0.48,0.52,0.44,0.28,0.25,0.32,0.22,0.18,0.35,high-build-low-balance
MEX,Mexico,North America,0.32,0.28,0.35,0.42,0.25,0.58,0.62,0.54,0.42,0.45,0.38,0.35,0.38,0.52,balanced-low
IDN,Indonesia,Southeast Asia,0.28,0.32,0.25,0.35,0.22,0.48,0.52,0.44,0.35,0.38,0.32,0.28,0.32,0.42,emerging
TUR,Turkey,Middle East,0.35,0.38,0.32,0.42,0.28,0.52,0.55,0.49,0.42,0.45,0.38,0.35,0.38,0.48,balanced-low
ZAF,South Africa,Africa,0.28,0.25,0.32,0.35,0.22,0.45,0.48,0.42,0.48,0.52,0.45,0.42,0.38,0.55,balanced-low
NZL,New Zealand,Oceania,0.38,0.35,0.42,0.52,0.28,0.48,0.52,0.44,0.75,0.78,0.74,0.72,0.68,0.80,low-build-high-balance
TWN,Taiwan,East Asia,0.68,0.75,0.72,0.55,0.68,0.68,0.72,0.64,0.55,0.58,0.52,0.48,0.45,0.62,high-build-low-balance
VNM,Vietnam,Southeast Asia,0.32,0.38,0.28,0.28,0.35,0.55,0.62,0.48,0.32,0.35,0.28,0.25,0.28,0.38,emerging
THA,Thailand,Southeast Asia,0.28,0.32,0.25,0.32,0.22,0.52,0.58,0.46,0.38,0.42,0.35,0.32,0.35,0.45,emerging
MYS,Malaysia,Southeast Asia,0.35,0.38,0.42,0.35,0.28,0.52,0.55,0.49,0.45,0.48,0.42,0.38,0.42,0.52,emerging

