country_iso3,country_name,year_ref,cloud_regions_total,cloud_regions_domestic,colocation_per_million,colocation_datacenters,population,grid_reliability,internet_penetration,bandwidth_per_user,exposure_raw,oadr_raw,balance_raw,is_federal_system,balance_raw_unknown_zero,balance_high_10,balance_high_15,balance_high_20,log_gdp_per_capita,wb_regulatory_quality,cloud_regions_total_winsor,cloud_regions_total_norm,colocation_per_million_winsor,colocation_per_million_norm,grid_reliability_winsor,grid_reliability_norm,internet_penetration_winsor,internet_penetration_norm,bandwidth_per_user_winsor,bandwidth_per_user_norm,exposure_raw_winsor,exposure_raw_norm,oadr_raw_winsor,oadr_raw_norm,oadr_norm,build_supply,build_access,hazard,break_displacement,break_shortage,sovereignty_s,balance_supply,balance_access,risk_supply,risk_access,risk,partial_observation,risk_viz,observed_core_count,observed_core_total,observed_core_pct,clustering_eligible,risk_rank,cluster_label,cluster_k,is_medoid,membership_stability,membership_change_rate,typology_unstable
ARE,United Arab Emirates,2023,4.0,0.0,5.436985292764012,57.0,10483751.0,95.2727132361456,100.0,343.28,0.269,2.06871808394946,0.1644,False,0.1644,,,,11.263890802596816,1.04239141941071,4.0,0.5,5.436985292764012,0.3551616262084575,95.2727132361456,0.9483697857891699,98.396585,1.0,339.59099999999995,1.0,0.269,0.606701194376916,2.06871808394946,0.0,0.0,0.6011771373325424,1.0,1.0,0.606701194376916,0.0,0.5,0.0822,0.1644,0.334753679519655,0.5069595180213511,0.672006633515848,False,0.8759067100722236,7,7,1.0,True,1.0,4,5,False,0.8761904761904762,0.12380952380952381,False
ARG,Argentina,2023,0.0,0.0,0.636825170914543,29.0,45538401.0,76.1490733388067,89.229,105.42,0.2851,18.600375437612,0.266,True,0.266,0.366,0.346,0.326,10.316308794124684,-0.482535392045975,0.0,0.0,0.636825170914543,0.03934266524541898,76.1490733388067,0.01506668997441274,89.229,0.8877875764770913,105.42,0.28989814143754306,0.2851,0.7201493851953638,18.600375437612,0.4575537991850441,0.4575537991850441,0.018136451739943906,0.5888428589573171,0.5962997906033711,0.39064229801845135,0.3295070871769124,1.0,0.266,0.266,0.005200291046224842,0.16883976485461344,0.17316203998341806,False,0.5573793795990271,7,7,1.0,True,18.0,1,5,False,0.9454545454545454,0.054545454545454564,False
AUS,Australia,2023,8.0,0.0,11.777978945324746,314.0,26659922.0,95.381347595765,97.0631,135.31,0.3149,26.9162142219747,0.3308,True,0.3308,0.4307999999999999,0.4108,0.3908,11.188201870964296,1.94220554828644,8.0,1.0,11.777978945324746,0.7723572980172893,95.381347595765,0.9536715371654206,97.0631,0.9836779715070604,135.31,0.3805367967468335,0.3149,0.930134235281683,26.9162142219747,0.6877148500582958,0.6877148500582958,0.9086762783942367,0.6821073841269469,0.9709688632474814,0.2904671091308528,0.6396671261508303,0.5,0.1654,0.3308,0.2202848011583098,0.1325884353814015,0.32366601941582795,False,0.6865924691309011,7,7,1.0,True,8.0,2,5,False,0.8925081433224755,0.10749185667752448,False
AUT,Austria,2023,1.0,0.0,7.4465374203288945,68.0,9131761.0,95.83126284263822,95.3347,108.88,0.31,30.7690996579744,0.6184,True,0.6184,0.7183999999999999,0.6983999999999999,0.6783999999999999,11.20564807516554,1.36136972904205,1.0,0.125,7.4465374203288945,0.48737693753521305,95.83126284263822,0.9756290355817898,95.3347,0.9625221324483556,108.88,0.3003902708242993,0.31,0.8956065250325901,30.7690996579744,0.7943528193406572,0.7943528193406572,0.5293353243723343,0.6314562016363274,0.8265394526885742,0.18417895685306332,0.7114275681795268,0.5,0.3092,0.6184,0.06734776917147307,0.04438044042722028,0.10873928594107274,False,0.47730445974688984,7,7,1.0,True,29.0,0,5,False,0.9907120743034056,0.009287925696594423,False
BEL,Belgium,2023,2.0,0.0,6.876092640832139,81.0,11779946.0,95.63518148896246,94.6263,134.83,0.3179,31.6929144636952,0.5198,True,0.5198,0.6198,0.5998,0.5798000000000001,11.183673128100605,1.16822481155396,2.0,0.25,6.876092640832139,0.449845423382714,95.63518148896246,0.9660595532343104,94.6263,0.9538512250257761,134.83,0.3790812412249714,0.3179,0.9512736497199031,31.6929144636952,0.8199216395174979,0.8199216395174979,0.5553016588723415,0.6664662331253738,0.8516780871607945,0.1713037992117662,0.7799698505081369,0.5,0.2599,0.5198,0.07040222259472427,0.05482356857430711,0.12136609009082588,False,0.49510706127722326,7,7,1.0,True,27.0,0,5,False,0.9967741935483871,0.003225806451612856,False
BGD,Bangladesh,2023,0.0,0.0,0.0408241842934316,7.0,171466990.0,92.20698010708564,44.5027,62.73,0.2001,9.67649438187319,0.0968,False,0.0968,,,,9.121266233318204,-0.914152979850769,0.0,0.0,0.0408241842934316,0.00012972077074547962,92.20698010708564,0.7987508724623362,44.5027,0.3403318923233398,62.73,0.1604446722119289,0.2001,0.121199309445795,9.67649438187319,0.2105637005411157,0.2105637005411157,0.2662935310776939,0.2503882822676344,0.4500050335198017,0.0956791343458606,0.025520175099934393,1.0,0.0968,0.0968,0.02301239303238798,0.021637902877055516,0.04415235598403999,False,0.35344184116175886,7,7,1.0,True,39.0,3,5,False,0.5286624203821656,0.4713375796178344,True
BRA,Brazil,2023,5.0,0.0,0.9330269954689794,197.0,211140729.0,84.8903894312574,84.1506,215.58,0.2692,15.3155231428833,0.3294,True,0.3294,0.4294,0.4094,0.3894,9.960605737455692,-0.29647821187973,5.0,0.625,0.9330269954689794,0.05883079691009678,84.8903894312574,0.44167466912355163,84.1506,0.8256273050840538,215.58,0.6239481337049044,0.2692,0.6081104886727972,15.3155231428833,0.36663752775132463,0.36663752775132463,0.37516848867788277,0.7247877193944792,0.8280386947748458,0.3851543625061529,0.22295612616664426,0.5,0.1647,0.3294,0.1206989957084476,0.18720144494170768,0.2853054142505208,False,0.6583194267144196,7,7,1.0,True,9.0,1,5,False,0.4553846153846154,0.5446153846153846,True
CAN,Canada,2023,7.0,0.0,8.407452805250163,337.0,40083484.0,96.00017061557467,93.9564,245.77,0.2972,29.6279601722539,0.1667,True,0.1667,0.2667,0.2466999999999999,0.2266999999999999,11.07005933838838,1.64471042156219,7.0,0.875,8.407452805250163,0.5505988490414289,96.00017061557467,0.9838723484780288,93.9564,0.9456515625718152,245.77,0.7154965112153587,0.2972,0.8054116900961846,29.6279601722539,0.7627690104144573,0.7627690104144573,0.8031570658398192,0.830574036893587,0.9666496962992192,0.1910686122652823,0.6143430778309024,0.5,0.08335,0.1667,0.140667372865881,0.13224190062307212,0.25430715274551463,False,0.633557726708107,7,7,1.0,True,14.0,2,5,False,0.9470404984423676,0.052959501557632405,False
CHE,Switzerland,2023,4.0,0.0,13.612602434833324,121.0,8888822.0,94.03738646669464,97.3444,266.34,0.331,29.9970867108759,0.2696,True,0.2696,0.3696,0.3496,0.3296,11.463121546115923,1.72938001155853,4.0,0.5,13.612602434833324,0.8930634556259944,94.03738646669464,0.8880813519731858,97.3444,0.9871211198102388,266.34,0.7778731301418257,0.32481499999999996,1.0,29.9970867108759,0.7729854845714845,0.7729854845714845,0.7603816025330601,0.8824971249760323,0.9718441493889988,0.22701451542851547,0.7729854845714845,0.5,0.1348,0.2696,0.14934880033163556,0.14632808561412658,0.2738229619044674,False,0.6493666113256064,7,7,1.0,True,11.0,2,5,True,0.9387096774193548,0.06129032258064515,False
CHL,Chile,2023,2.0,0.0,3.0011951369447885,59.0,19658835.0,94.08905717195871,94.4574,360.89,0.2745,19.8677499182616,0.4449,False,0.4449,,,,10.40865932995286,0.925731718540192,2.0,0.25,3.0011951369447885,0.19490265638091955,94.08905717195871,0.890603070089861,94.4574,0.9517838672283826,339.59099999999995,1.0,0.2745,0.6454567875136529,19.8677499182616,0.49263146842326616,0.49263146842326616,0.4451685754902601,0.9758919336141914,0.9866240871849864,0.32748446247703794,0.3179723250366149,0.5,0.22245,0.4449,0.11335574230219786,0.17740410109453447,0.2706500698297072,False,0.6468487071902603,7,7,1.0,True,12.0,2,5,False,0.653250773993808,0.34674922600619196,True
