country_iso3,cluster_label,cluster_k,is_medoid,bootstrap_observations,dominant_cluster,membership_stability,membership_change_rate,typology_unstable
ARE,4,5,False,315,4,0.8761904761904762,0.12380952380952381,False
ARG,1,5,False,330,1,0.9454545454545454,0.054545454545454564,False
AUS,2,5,False,307,2,0.8925081433224755,0.10749185667752448,False
AUT,0,5,False,323,0,0.9907120743034056,0.009287925696594423,False
BEL,0,5,False,310,0,0.9967741935483871,0.003225806451612856,False
BGD,3,5,False,314,3,0.5286624203821656,0.4713375796178344,True
BRA,1,5,False,325,1,0.4553846153846154,0.5446153846153846,True
CAN,2,5,False,321,2,0.9470404984423676,0.052959501557632405,False
CHE,2,5,True,310,2,0.9387096774193548,0.06129032258064515,False
CHL,2,5,False,323,2,0.653250773993808,0.34674922600619196,True
COL,1,5,False,327,1,0.7033639143730887,0.29663608562691135,False
CZE,0,5,False,326,0,0.9233128834355828,0.07668711656441718,False
DEU,0,5,False,321,0,0.9906542056074766,0.009345794392523366,False
DNK,0,5,False,316,0,1.0,0.0,False
EGY,1,5,False,334,1,0.9131736526946108,0.08682634730538918,False
ESP,0,5,True,317,0,0.9968454258675079,0.003154574132492094,False
ETH,3,5,False,337,3,0.9525222551928784,0.047477744807121636,False
EU,0,5,False,308,0,0.9707792207792207,0.02922077922077926,False
FIN,0,5,False,298,0,0.9496644295302014,0.05033557046979864,False
FRA,0,5,False,315,0,0.9873015873015873,0.012698412698412653,False
GBR,0,5,False,329,0,0.9756838905775076,0.024316109422492405,False
GHA,1,5,False,330,1,0.6515151515151515,0.3484848484848485,True
IDN,1,5,False,327,1,0.8195718654434251,0.18042813455657492,False
IND,1,5,False,293,1,0.6279863481228669,0.3720136518771331,True
IRL,0,5,False,328,0,0.9054878048780488,0.09451219512195119,False
ISR,4,5,True,334,4,0.6616766467065869,0.3383233532934131,True
ITA,0,5,False,307,0,0.8859934853420195,0.1140065146579805,False
JPN,2,5,False,323,2,0.7863777089783281,0.21362229102167185,False
KEN,3,5,False,314,3,0.9745222929936306,0.02547770700636942,False
KOR,2,5,False,319,2,0.8150470219435737,0.1849529780564263,False
MAR,1,5,False,304,1,0.6085526315789473,0.39144736842105265,True
MEX,1,5,False,317,1,0.8422712933753943,0.1577287066246057,False
MYS,4,5,False,320,4,0.684375,0.31562500000000004,True
NGA,3,5,False,305,3,0.921311475409836,0.07868852459016396,False
NLD,0,5,False,324,0,0.9845679012345679,0.015432098765432056,False
PAK,3,5,True,318,3,0.9874213836477987,0.012578616352201255,False
PHL,1,5,True,314,1,0.9076433121019108,0.09235668789808915,False
POL,0,5,False,323,0,0.9814241486068112,0.018575851393188847,False
PRT,0,5,False,303,0,0.8811881188118812,0.1188118811881188,False
RWA,3,5,False,302,3,0.9801324503311258,0.019867549668874163,False
SAU,4,5,False,322,4,0.860248447204969,0.13975155279503104,False
SGP,4,5,False,302,4,0.652317880794702,0.347682119205298,True
SWE,0,5,False,299,0,0.9899665551839465,0.010033444816053505,False
THA,2,5,False,312,2,0.9519230769230769,0.04807692307692313,False
TUR,1,5,False,324,1,0.9074074074074074,0.09259259259259256,False
USA,2,5,False,308,2,0.8993506493506493,0.10064935064935066,False
VNM,2,5,False,326,2,0.9233128834355828,0.07668711656441718,False
ZAF,1,5,False,316,1,0.6012658227848101,0.3987341772151899,True
